measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,America,Both,All Ages,Non-communicable diseases,Number,2001,4308723.402159611,4320889.583740455,4296604.923093671
Deaths,America,Both,All Ages,Non-communicable diseases,Percent,2001,0.779893253813714,0.7817195064151801,0.7779876053125181
Deaths,America,Both,All Ages,Non-communicable diseases,Rate,2001,515.0721872380586,516.5265534556816,513.623523460903
Deaths,America,Both,All Ages,Injuries,Number,2001,569963.6057373529,574054.019816248,566523.2054737202
Deaths,America,Both,All Ages,Injuries,Percent,2001,0.103165208478145,0.10383338588476924,0.10260745786197659
Deaths,America,Both,All Ages,Injuries,Rate,2001,68.13442721946033,68.62340233567905,67.72315586983599
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2001,7302872.598899702,7670431.905178669,7055609.819071135
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2001,0.2757284391866753,0.2897434766326527,0.2668533982032225
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2001,194.87430477649616,204.68248139538437,188.2761940106787
Deaths,Asia,Both,All Ages,Non-communicable diseases,Number,2001,16601428.420579504,16867018.324933898,16283084.285751428
Deaths,Asia,Both,All Ages,Non-communicable diseases,Percent,2001,0.6268094646002386,0.6352227234958586,0.6149330031746723
Deaths,Asia,Both,All Ages,Non-communicable diseases,Rate,2001,443.002637379246,450.0898003094225,434.5077484004025
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2002,14549450.194420297,15042853.528658524,14203119.473759774
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2002,0.2852469767812855,0.2945562673815429,0.27917236886009633
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2002,229.1403142358706,236.9109580431353,223.6859273620548
Deaths,Africa,Both,All Ages,Non-communicable diseases,Number,2000,2675636.7358003133,2808326.5132661033,2551811.6047970518
Deaths,Africa,Both,All Ages,Non-communicable diseases,Percent,2000,0.2781563221334083,0.2888380116475231,0.26737491723299656
Deaths,Africa,Both,All Ages,Non-communicable diseases,Rate,2000,328.09498417927136,344.3658216423272,312.9111575207692
Deaths,Asia,Both,All Ages,Injuries,Number,2001,2581348.7599497424,2654071.418544878,2446628.324013905
Deaths,Asia,Both,All Ages,Injuries,Percent,2001,0.09746209621308709,0.10009553948158269,0.09265585815881675
Deaths,Asia,Both,All Ages,Injuries,Rate,2001,68.88228408320697,70.82285984203382,65.2873218355925
Deaths,Africa,Both,All Ages,Injuries,Number,2000,675972.3948117653,713196.9320471708,629813.5026055303
Deaths,Africa,Both,All Ages,Injuries,Percent,2000,0.07027681081054815,0.07395710651332595,0.06574114987306909
Deaths,Africa,Both,All Ages,Injuries,Rate,2000,82.88985915535818,87.45444888157812,77.229710748251
Deaths,America,Both,All Ages,Non-communicable diseases,Number,2000,4253249.754996048,4265233.223543703,4239096.88121265
Deaths,America,Both,All Ages,Non-communicable diseases,Percent,2000,0.7771253230537323,0.7789951319855949,0.775064334864291
Deaths,America,Both,All Ages,Non-communicable diseases,Rate,2000,514.9953734369898,516.4463653173804,513.2817039044816
Deaths,America,Both,All Ages,Injuries,Number,2000,560044.8798740542,564133.577747687,556412.7251820733
Deaths,America,Both,All Ages,Injuries,Percent,2000,0.10232755903240766,0.10301932724816323,0.10171837038900088
Deaths,America,Both,All Ages,Injuries,Rate,2000,67.8118000743836,68.30687104589876,67.3720086279066
Deaths,Europe,Both,All Ages,Non-communicable diseases,Number,2001,7711431.254127463,7723901.640860504,7699214.4461096255
Deaths,Europe,Both,All Ages,Non-communicable diseases,Percent,2001,0.8767169406589359,0.8774247663624172,0.8759356675228747
Deaths,Europe,Both,All Ages,Non-communicable diseases,Rate,2001,943.0648493000086,944.5899077486386,941.5708021079165
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2001,399116.3461391718,405466.08299695526,393459.6175027238
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2001,0.045375657176517585,0.04604895783468543,0.04475607591422379
Deaths,Europe,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2001,48.809693612122786,49.586230863839255,48.117907384215066
Deaths,Asia,Both,All Ages,Non-communicable diseases,Number,2000,16359975.457091296,16623940.296732772,16051525.901942264
Deaths,Asia,Both,All Ages,Non-communicable diseases,Percent,2000,0.6183959118346399,0.6268141865141048,0.6068855370602545
Deaths,Asia,Both,All Ages,Non-communicable diseases,Rate,2000,442.0562948798566,449.1887822907643,433.72180392269433
Deaths,Asia,Both,All Ages,Injuries,Number,2000,2620065.506421398,2696453.8976334417,2485325.8797287103
Deaths,Asia,Both,All Ages,Injuries,Percent,2000,0.09903640221517439,0.1018044321093712,0.09414103249034414
Deaths,Asia,Both,All Ages,Injuries,Rate,2000,70.7957327410977,72.85979263407246,67.15498766140736
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2002,32015382.88482188,32330349.088162694,31592168.30989142
Deaths,Global,Both,All Ages,Non-communicable diseases,Percent,2002,0.6276790567399297,0.6333214860887382,0.6198305684167376
Deaths,Global,Both,All Ages,Non-communicable diseases,Rate,2002,504.2125163893238,509.17294127430574,497.54728028810393
Deaths,Europe,Both,All Ages,Injuries,Number,2001,685258.3798428007,688625.1058491659,682200.2013300044
Deaths,Europe,Both,All Ages,Injuries,Percent,2001,0.07790740216454557,0.07826700874795639,0.07760275910197051
Deaths,Europe,Both,All Ages,Injuries,Rate,2001,83.80326160232914,84.21499333528448,83.42926349960877
Deaths,Global,Both,All Ages,Injuries,Number,2002,4441299.7017243225,4527735.5930730915,4292874.401067258
Deaths,Global,Both,All Ages,Injuries,Percent,2002,0.08707396647878461,0.08870097723341351,0.08424740089623901
Deaths,Global,Both,All Ages,Injuries,Rate,2002,69.94634131666848,71.30762624773139,67.60878081928584
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2000,7475510.453263334,7840657.04084857,7221603.672277819
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Percent,2000,0.28256768595018616,0.2964271839768998,0.27334293086412054
Deaths,Asia,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2000,201.9927512710807,211.85922986203636,195.13203860426074
Deaths,Africa,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2000,6267271.674699098,6445277.692314314,6080801.561367881
